image_no	outer_radius_pixel	outer_diameter_um	center_outer_1	center_outer_2	inner_radius_pixel	inner_diameter_um	center_inner_1	center_inner_2
1	49.6714974755852	61.3917384529705	961.158078304392	1138.12556134813	40.3643445439176	49.8885157284375	960.655791973456	1137.0745860388
1	48.3768288053956	59.7915861639721	1168.99946560369	974.256723760668	39.7980654740537	49.1886202488304	1168.96981451626	974.455157496626
1	50.4559763006359	62.3613190232579	1564.89298797086	554.860320005367	41.1740325676272	50.8892537352696	1564.14151779231	555.314778249941
1	47.0681084567598	58.1740666319503	408.097634730246	1450.41907334984	40.4834742357914	50.0357546734501	407.303500240103	1449.93247968449
1	52.5980565288102	65.0088339120125	1408.58414669712	1099.04518913474	41.7329944776284	51.5801055341475	1408.94970715234	1100.18921279938
1	48.3200921874503	59.721462254152	164.69967148493	321.964857323264	38.768905649398	47.9166249599301	164.240306125116	322.406052039505
1	48.9531637448114	60.5039102463961	1175.59224154598	517.22006674491	39.1792464948845	48.4237878026662	1174.13062680945	520.233340065529
1	49.6709700503864	61.3910865791293	253.515836001402	961.306060144881	37.1749421981845	45.946557773037	255.154404424262	962.536177658804
1	51.9994912396085	64.2690341163701	712.71459098548	1341.73921321802	40.3052345734103	49.8154584615184	710.727878690806	1341.95514477216
1	47.875195187762	59.171589557908	1558.03969400381	799.316941602246	40.9753540194884	50.643695979143	1559.76208420932	797.491473996117
1	53.313257096739	65.8927896701268	890.938136928819	1449.50653335955	40.4324541271089	49.972696112157	892.272809503247	1449.2496206802
1	46.537278816258	57.5179850538021	1939.47966540464	973.669344991211	40.7212735817758	50.3296639774757	1939.49888381019	973.113443161201
1	53.2593352960867	65.8261447479724	1345.15435270895	847.053690131213	40.2279463647884	49.719933709289	1343.47298703699	844.661552509098
1	51.6905177752183	63.8871568008316	565.942143485624	190.377759563737	39.8774349374491	49.2867173384202	564.197161454012	192.334830450651
1	52.7480032686157	65.1941613432329	678.080958237912	84.8283081939385	40.2337609628953	49.7271202912189	678.626966859061	83.7464610153085
1	50.6660928456606	62.6210136294681	1652.36233919543	934.571158266043	38.4745361316578	47.5527974660938	1652.25024653418	937.630059199301
1	47.7347082081067	58.9979539650757	132.350095695876	573.267769435698	40.9530461061785	50.6161244008948	130.536029704758	572.542146492548
1	55.8496450935549	69.0276512392252	713.797110731759	1109.14107213917	40.5542699377745	50.1232549792719	717.691777124572	1109.02143864413
1	47.9794869740292	59.3004895184631	280.746993040505	1375.96700984251	41.8363709825456	51.7078742480901	280.885389550407	1376.09384282149
