image_no	shell_no	cell_area_um2	dead_cell_area_um2	radii_um
1	1	0	0	33.3015230343689
1	2	37.2348819593486	0	36.8346040899294
1	3	0	0	30.9797390672119
1	4	0	0	35.0368563486324
1	5	0	0	33.4859383379307
1	6	0	0	40.3544717085048
1	7	0	0	37.4902929581326
1	8	0	0	34.4421684125449
1	9	0	0	37.233787528416
1	10	0	0	32.1727009891128
1	11	0	0	32.0283379156282
1	12	0	0	37.0021431173639
1	13	2266.07672642343	0	33.8837865553263
1	14	1303.60276480242	0	33.636508387446
1	15	0	0	39.5467898835638
1	16	0	0	35.2047884548824
1	17	0	0	32.6602615371909
1	18	0	0	32.6985315706526
1	19	0	0	33.6547645651033
1	20	0	0	32.4134249814386
1	21	0	0	34.0152792698044
1	22	0	0	32.9193362819052
1	23	2367.85207044565	0	42.1283756492864
1	24	0	0	32.6942586432751
1	25	1227.79636409544	0	37.8352895342964
1	26	1845.70445650802	0	34.6100076101983
1	27	0	0	32.3293562794085
1	28	0	0	32.1316382148918
1	29	0	0	33.2034577220629
1	30	0	0	34.9592732961768
1	31	0	0	31.7451842001725
1	32	0	0	41.3339018435305
1	33	84.4945398308294	0	38.4592712736685
1	34	0	0	38.5527609322628
1	35	0	0	29.9151839374473
1	36	2.19590329503851	0	31.6522003019168
1	37	70.9372238353743	0	34.9801894206835
1	38	0	0	31.5894343945174
1	39	48.023450321929	0	41.3213984333128
1	40	0	0	30.8702305029071
1	41	0	0	32.2907575927121
1	42	35.7072970584522	0	32.9715864997197
1	43	0	0	30.2326739554741
1	44	1732.9495960106	0	33.1579854582403
1	45	116.669296805959	0	36.1372510428713
1	46	1750.99419265244	0	30.7142755091703
1	47	0	0	36.9740889458142
1	48	207.656072465598	0	35.3849516377415
1	49	85.2583322812776	0	39.1452187524451
1	50	0	0	32.4096320287662
1	51	2.86422168918066	0	31.1799754311692
1	52	0	0	32.7306635544003
1	53	0	0	44.3072570589033
1	54	0	0	42.7139229976172
1	55	30.456223961621	0	33.9636248849406
1	56	0	0	33.7836635532819
1	57	0	0	39.2732491403391
1	58	0	0	33.7667397140489
1	59	0	0	30.6864371059893
1	60	0	0	29.6349769619031
1	61	2843.50381896225	0	41.0690445852644
1	62	0	0	41.8515523272193
1	63	0	0	33.3214033549107
1	64	26.6372617093801	0	34.7456500528016
1	65	0	0	43.7532288112873
1	66	0	0	34.2253602591466
